OBJECTID,NA_ID,ACRES,NA_NAME,OWNER,R_RATING,C_RATING,TOP_RATING,DATA_DATE
1,1333,47.92,Eller Seep,"PRV, TNC",R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
2,1528,13.18,Locust Ridge Outcrop,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
3,738,253.63,Black Mountains/Bald Knob,USFS,R3 (High),C3 (High),High,2021/01/22
4,1765,74.8,Pinebluff Lake Natural Area,LOCAL,R3 (High),C4 (Moderate),High,2021/01/22
5,1581,149.78,Bones Fork Pine and Shrub Community,NCWRC,R4 (Moderate),C3 (High),High,2021/01/22
6,1493,624.65,Catfish Lake Impoundment Bay Rims,USFS,R3 (High),C5 (General),High,2021/01/22
7,1600,4535.52,Beetree Watershed,"CTNC, LOCAL",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
8,216,352.33,Old Dock Savanna,"PRV, TNC",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
9,387,84.08,Cumbee Pond and Sandhills,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
10,654,91.64,Rocky Hock Swamp Forest,TNC,R5 (General),C5 (General),General,2021/01/22
11,547,917.04,Currituck Banks/Corolla Natural Area,"NCDCM, TNC, USFWS",R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
12,1247,107.03,Beartree Ridge,"USFS, USNPS",R3 (High),C4 (Moderate),High,2021/01/22
13,1706,2035.77,Oyster Creek Pine Hammocks,PRV,R3 (High),C5 (General),High,2021/01/22
14,907,1795.35,Live Oak Bay,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
15,1475,2298.71,Hobucken Marshes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
16,2078,4523.53,Jones Island,"NCWRC, PRV",R2 (Very High),C5 (General),Very High,2021/01/22
17,1282,118.13,Bog Hole and Uplands,NCWRC,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
18,2121,14831.78,Upper Alligator River Marshes and Forests,"NCWRC, PRV, TNC, USFWS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
19,1779,10750.9,Long Shoal River Marshes and Pocosins,"NCWRC, PRV, USFWS",R3 (High),C3 (High),High,2021/01/22
20,1460,253.24,Chicod Creek Swamp and Slopes,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
21,1583,1461.36,Gibbs Point Marsh,PRV,R5 (General),C5 (General),General,2021/01/22
22,1970,387.86,Fall Swamp/Middle River Limesink Complex,PRV,R5 (General),C3 (High),High,2021/01/22
23,719,41.06,Newberry Creek Gorge,USFS,R3 (High),C4 (Moderate),High,2021/01/22
24,1804,44.04,Green River Rich Slope,PRV,R3 (High),C4 (Moderate),High,2021/01/22
25,1999,110.26,McLendons Creek Diabase Sill and Levees,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
26,1441,1.81,Ball Pond Limesink Complex,PRV,R3 (High),C4 (Moderate),High,2021/01/22
27,2029,2808.77,Carvers Creek Sandhills,NCDPR,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
28,1197,2055.55,Boiling Spring Lakes Limesink Complex,PRV,R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
29,1990,130.98,TAR/Crooked Creek Aquatic Habitat,PW,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
30,23,221.15,Camp Lejeune Lyman Road Cypress Savanna,USDOD,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
31,26,2272.87,Camp Lejeune G-10 Impact Area,USDOD,R2 (Very High),C3 (High),Very High,2021/01/22
32,839,30.13,Meherrin River Oxbow Bluffs,PRV,R5 (General),C5 (General),General,2021/01/22
33,76,67,Tar River/Spring Hope Slopes,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
34,75,43.3,Cattail Creek Woods,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
35,57,0.6,North Big Peachtree Creek Flatrock,PRV,R3 (High),C4 (Moderate),High,2021/01/22
36,2061,560.92,Black Mountain/Parker Knob,USFS,R2 (Very High),C2 (Very High),Very High,2021/01/22
37,818,41.19,Savannah Church Diabase Dike,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
38,1582,50.6,Butcher Branch Forest,PRV,R5 (General),C5 (General),General,2021/01/22
39,205,1203.39,High Knob/Sugarhouse Cove,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
40,432,190,Nobles Millpond,PRV,R5 (General),C5 (General),General,2021/01/22
41,1137,46.49,Stantonsburg Oxbow,PRV,R3 (High),C5 (General),High,2021/01/22
42,732,82.36,Conoconnara Swamp Forest,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
43,666,10.38,West Big Peachtree Creek Flatrock,PRV,R3 (High),C4 (Moderate),High,2021/01/22
44,900,8.68,Meherrin River Bluffs North of Kirby,PRV,R5 (General),C5 (General),General,2021/01/22
45,1177,218.37,Rocky Point Sandhills,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
46,726,652.59,Rocky Creek Longleaf Pine Forest and Bogs,"PRV, USFS",R3 (High),C3 (High),High,2021/01/22
47,2101,1029.14,Charley Bald/Buck Knob,USFS,R3 (High),C3 (High),High,2021/01/22
48,589,111.93,Camp Mackall Big Muddy Lake and Tributary,USDOD,R4 (Moderate),C3 (High),High,2021/01/22
49,736,34,Camp Mackall Little Muddy Lake,USDOD,R3 (High),C4 (Moderate),High,2021/01/22
50,1054,206.28,Camp Mackall Big Muddy Creek Natural Area,USDOD,R5 (General),C4 (Moderate),Moderate,2021/01/22
51,3218,622.83,Landrum Creek Forests,PRV,R3 (High),C3 (High),High,2021/01/22
52,1056,590.87,Lomax Church Longleaf Pine Forest,USFS,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
