GEO_ID,NAME,S1502_C01_001E
0500000US36001,"Albany County, New York",85702
0500000US36003,"Allegany County, New York",6268
0500000US36005,"Bronx County, New York",186550
0500000US36007,"Broome County, New York",36345
0500000US36009,"Cattaraugus County, New York",10081
0500000US36011,"Cayuga County, New York",12523
0500000US36013,"Chautauqua County, New York",19916
0500000US36015,"Chemung County, New York",13863
0500000US36017,"Chenango County, New York",6406
0500000US36019,"Clinton County, New York",12621
0500000US36021,"Columbia County, New York",14889
0500000US36023,"Cortland County, New York",8419
0500000US36025,"Delaware County, New York",7410
0500000US36027,"Dutchess County, New York",72058
0500000US36029,"Erie County, New York",221931
0500000US36031,"Essex County, New York",7683
0500000US36033,"Franklin County, New York",6689
0500000US36035,"Fulton County, New York",7032
0500000US36037,"Genesee County, New York",9210
0500000US36039,"Greene County, New York",7804
0500000US36041,"Hamilton County, New York",601
0500000US36043,"Herkimer County, New York",9395
0500000US36045,"Jefferson County, New York",15905
0500000US36047,"Kings County, New York",667445
0500000US36049,"Lewis County, New York",3382
0500000US36051,"Livingston County, New York",11289
0500000US36053,"Madison County, New York",12571
0500000US36055,"Monroe County, New York",198049
0500000US36057,"Montgomery County, New York",6084
0500000US36059,"Nassau County, New York",433413
0500000US36061,"New York County, New York",766048
0500000US36063,"Niagara County, New York",37080
0500000US36065,"Oneida County, New York",40921
0500000US36067,"Onondaga County, New York",113367
0500000US36069,"Ontario County, New York",28024
0500000US36071,"Orange County, New York",73635
0500000US36073,"Orleans County, New York",4776
0500000US36075,"Oswego County, New York",15203
0500000US36077,"Otsego County, New York",12402
0500000US36079,"Putnam County, New York",27946
0500000US36081,"Queens County, New York",529260
0500000US36083,"Rensselaer County, New York",35776
0500000US36085,"Richmond County, New York",111976
0500000US36087,"Rockland County, New York",83654
0500000US36089,"St. Lawrence County, New York",17061
0500000US36091,"Saratoga County, New York",67456
0500000US36093,"Schenectady County, New York",34238
0500000US36095,"Schoharie County, New York",5005
0500000US36097,"Schuyler County, New York",3103
0500000US36099,"Seneca County, New York",5207
0500000US36101,"Steuben County, New York",16099
0500000US36103,"Suffolk County, New York",374665
0500000US36105,"Sullivan County, New York",13152
0500000US36107,"Tioga County, New York",9022
0500000US36109,"Tompkins County, New York",31990
0500000US36111,"Ulster County, New York",42247
0500000US36113,"Warren County, New York",14993
0500000US36115,"Washington County, New York",9235
0500000US36117,"Wayne County, New York",14467
0500000US36119,"Westchester County, New York",326933
0500000US36121,"Wyoming County, New York",5131
0500000US36123,"Yates County, New York",4201
