"GEO_ID","id"
"NAME","Geographic Area Name"
"S1502_C01_001E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C01_001M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher"
"S1502_C01_002E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C01_002M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering"
"S1502_C01_003E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C01_003M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields"
"S1502_C01_004E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C01_004M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Business"
"S1502_C01_005E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C01_005M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Education"
"S1502_C01_006E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C01_006M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others"
"S1502_C01_007E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C01_007M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years"
"S1502_C01_008E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C01_008M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering"
"S1502_C01_009E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C01_009M","Margin of Error!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields"
"S1502_C01_010E","Estimate!!Total!!Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business"
