GEO_ID,NAME,S1502_C01_001E
36001,"Albany County, New York",85702
36003,"Allegany County, New York",6268
36005,"Bronx County, New York",186550
36007,"Broome County, New York",36345
36009,"Cattaraugus County, New York",10081
36011,"Cayuga County, New York",12523
36013,"Chautauqua County, New York",19916
36015,"Chemung County, New York",13863
36017,"Chenango County, New York",6406
36019,"Clinton County, New York",12621
36021,"Columbia County, New York",14889
36023,"Cortland County, New York",8419
36025,"Delaware County, New York",7410
36027,"Dutchess County, New York",72058
36029,"Erie County, New York",221931
36031,"Essex County, New York",7683
36033,"Franklin County, New York",6689
36035,"Fulton County, New York",7032
36037,"Genesee County, New York",9210
36039,"Greene County, New York",7804
36041,"Hamilton County, New York",601
36043,"Herkimer County, New York",9395
36045,"Jefferson County, New York",15905
36047,"Kings County, New York",667445
36049,"Lewis County, New York",3382
36051,"Livingston County, New York",11289
36053,"Madison County, New York",12571
36055,"Monroe County, New York",198049
36057,"Montgomery County, New York",6084
36059,"Nassau County, New York",433413
36061,"New York County, New York",766048
36063,"Niagara County, New York",37080
36065,"Oneida County, New York",40921
36067,"Onondaga County, New York",113367
36069,"Ontario County, New York",28024
36071,"Orange County, New York",73635
36073,"Orleans County, New York",4776
36075,"Oswego County, New York",15203
36077,"Otsego County, New York",12402
36079,"Putnam County, New York",27946
36081,"Queens County, New York",529260
36083,"Rensselaer County, New York",35776
36085,"Richmond County, New York",111976
36087,"Rockland County, New York",83654
36089,"St. Lawrence County, New York",17061
36091,"Saratoga County, New York",67456
36093,"Schenectady County, New York",34238
36095,"Schoharie County, New York",5005
36097,"Schuyler County, New York",3103
36099,"Seneca County, New York",5207
36101,"Steuben County, New York",16099
36103,"Suffolk County, New York",374665
36105,"Sullivan County, New York",13152
36107,"Tioga County, New York",9022
36109,"Tompkins County, New York",31990
36111,"Ulster County, New York",42247
36113,"Warren County, New York",14993
36115,"Washington County, New York",9235
36117,"Wayne County, New York",14467
36119,"Westchester County, New York",326933
36121,"Wyoming County, New York",5131
36123,"Yates County, New York",4201
